"","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ"
"103","1931_T3-Ft2-50_Racine_X200_09µm_square.jpg","1931_T3_Ft2_50_R_X200_09µm",5049718.24578452,"1931","50","T3","T","3","Ft2","Ft","2",0,"R"
"104","1932_T3-Ho3-39_Tige_X200_09µm_square.jpg","1932_T3_Ho3_39_T_X200_09µm",9495637.72489184,"1932","39","T3","T","3","Ho3","Ho","3",0,"T"
"105","1933_T3-Ho3-39_Racine_X200_09µm_square.jpg","1933_T3_Ho3_39_R_X200_09µm",1325347.7888448,"1933","39","T3","T","3","Ho3","Ho","3",0,"R"
"106","1934_T3-Fe2-44_Tige_X200_09µm_square.jpg","1934_T3_Fe2_44_T_X200_09µm",2191688.71946964,"1934","44","T3","T","3","Fe2","Fe","2",0,"T"
"107","1935_T3-Fe2-44_Racine_X200_09µm_square.jpg","1935_T3_Fe2_44_R_X200_09µm",2663785.43239424,"1935","44","T3","T","3","Fe2","Fe","2",0,"R"
"108","1936_F1-Ft1-58_Tige_X200_09µm_square.jpg","1936_F1_Ft1_58_T_X200_09µm",2853179.267652,"1936","58","F1","F","1","Ft1","Ft","1",0,"T"
"109","1937_F1-Ft1-58_Racine_X200_09µm_square.jpg","1937_F1_Ft1_58_R_X200_09µm",3852712.39173912,"1937","58","F1","F","1","Ft1","Ft","1",0,"R"
"110","1938_T3-Fe1-43_Tige_X200_09µm_square.jpg","1938_T3_Fe1_43_T_X200_09µm",8102963.3786739,"1938","43","T3","T","3","Fe1","Fe","1",0,"T"
"111","1939_T3-Fe1-43_Racine_X200_09µm_square.jpg","1939_T3_Fe1_43_R_X200_09µm",6372100.3644228,"1939","43","T3","T","3","Fe1","Fe","1",0,"R"
"112","1940_P3-Fe3-87_Tige_X200_09µm_square.jpg","1940_P3_Fe3_87_T_X200_09µm",5349711.1268475,"1940","87","P3","P","3","Fe3","Fe","3",0,"T"
"113","1941_P3-Fe3-87_Racine_X200_09µm_square.jpg","1941_P3_Fe3_87_R_X200_09µm",6096205.3799394,"1941","87","P3","P","3","Fe3","Fe","3",0,"R"
"114","1942_P2-Ft3-84_Tige_X200_09µm_square.jpg","1942_P2_Ft3_84_T_X200_09µm",2697240.52979784,"1942","84","P2","P","2","Ft3","Ft","3",0,"T"
"115","1943_P2-Ft3-84_Racine_X200_09µm_square.jpg","1943_P2_Ft3_84_R_X200_09µm",2811827.89070838,"1943","84","P2","P","2","Ft3","Ft","3",0,"R"
"116","1944_P3-Fe1-85_Tige_X200_09µm_square.jpg","1944_P3_Fe1_85_T_X200_09µm",7409884.06002825,"1944","85","P3","P","3","Fe1","Fe","1",0,"T"
"117","1945_P3-Fe1-85_Racine_X200_09µm_square.jpg","1945_P3_Fe1_85_R_X200_09µm",4804648.70039352,"1945","85","P3","P","3","Fe1","Fe","1",0,"R"
"118","1946_P3-Ft3-90_Tige_X200_09µm_square.jpg","1946_P3_Ft3_90_T_X200_09µm",5756029.85896,"1946","90","P3","P","3","Ft3","Ft","3",0,"T"
"119","1947_P3-Ft3-90_Racine_X200_09µm_square.jpg","1947_P3_Ft3_90_R_X200_09µm",5759214.66735912,"1947","90","P3","P","3","Ft3","Ft","3",0,"R"
"120","1948_P2-Ft2-83_Tige_X200_09µm_square.jpg","1948_P2_Ft2_83_T_X200_09µm",3028431.38488064,"1948","83","P2","P","2","Ft2","Ft","2",0,"T"
"121","1949_P2-Ft2-83_Racine_X200_09µm_square.jpg","1949_P2_Ft2_83_R_X200_09µm",8896024.4976933,"1949","83","P2","P","2","Ft2","Ft","2",0,"R"
"122","1950_P2-Ft1-82_Tige_X200_09µm_square.jpg","1950_P2_Ft1_82_T_X200_09µm",9673986.99524256,"1950","82","P2","P","2","Ft1","Ft","1",0,"T"
"123","1951_P2-Ft1-82_Racine_X200_09µm_square.jpg","1951_P2_Ft1_82_R_X200_09µm",2029767.5089575,"1951","82","P2","P","2","Ft1","Ft","1",0,"R"
"124","1952_P2-Fe2-80_Tige_X200_09µm_square.jpg","1952_P2_Fe2_80_T_X200_09µm",4527219.74856192,"1952","80","P2","P","2","Fe2","Fe","2",0,"T"
"125","1953_P2-Fe2-80_Racine_X200_09µm_square.jpg","1953_P2_Fe2_80_R_X200_09µm",4044151.51679448,"1953","80","P2","P","2","Fe2","Fe","2",0,"R"
"126","1954_F3-Fe1-67_Tige_X200_09µm_square.jpg","1954_F3_Fe1_67_T_X200_09µm",1696622.67165735,"1954","67","F3","F","3","Fe1","Fe","1",0,"T"
