"","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","year","ring_length_µm","mean_vessel_size_µm2","vessel_density_per_mm2","vessel_area","Kth"
"137","18","T1","T",1,"Ft3","Ft",3,1,"R","2021",131.927685626079,188.298222222222,874.023926634464,0.164577151564956,1.46351555759819
"138","18","T1","T",1,"Ft3","Ft",3,1,"R","2022",124.399037203705,187.401793103448,1054.02954258802,0.197527026265002,1.84402243213924
"139","18","T1","T",1,"Ft3","Ft",3,1,"R","2023",170.081105122704,155.143823529412,783.518687655442,0.121558085009612,0.875094732186678
"140","18","T1","T",1,"Ft3","Ft",3,1,"R","2024",124.535607765161,166.703255319149,669.319062786498,0.111577666613671,0.900495031487196
"141","18","T1","T",1,"Ft3","Ft",3,1,"T","2021",NA,NA,NA,NA,NA
"142","18","T1","T",1,"Ft3","Ft",3,1,"T","2022",NA,NA,NA,NA,NA
"143","18","T1","T",1,"Ft3","Ft",3,1,"T","2023",NA,NA,NA,NA,NA
"144","18","T1","T",1,"Ft3","Ft",3,1,"T","2024",NA,NA,NA,NA,NA
"145","19","T1","T",1,"Ho3","Ho",3,0,"R","2021",600.765,143.738464566929,1052.27429074014,0.151252290854242,0.998911637982079
"146","19","T1","T",1,"Ho3","Ho",3,0,"R","2022",410.665,173.62693495935,1009.28281651852,0.17523868193925,1.48336067085164
"147","19","T1","T",1,"Ho3","Ho",3,0,"R","2023",234.512,169.94284137931,1097.85639093072,0.186572834501201,1.52679468773864
"148","19","T1","T",1,"Ho3","Ho",3,0,"R","2024",179.438,184.34580620155,1040.51924585518,0.191815359245402,1.80501825964993
"149","19","T1","T",1,"Ho3","Ho",3,0,"T","2021",56.537,152.827257142857,1015.90740512864,0.155258342236927,1.07012263081287
"150","19","T1","T",1,"Ho3","Ho",3,0,"T","2022",271.626,178.967444444444,1045.22143359588,0.187060608849213,1.58160421294498
"151","19","T1","T",1,"Ho3","Ho",3,0,"T","2023",454.406,163.770466898955,990.536067290749,0.16222055422046,1.26767659584238
"152","19","T1","T",1,"Ho3","Ho",3,0,"T","2024",248.162,158.752357142857,905.173172470125,0.14369837475211,1.20997262702279
"153","20","T2","T",2,"Ho2","Ho",2,0,"R","2021",284.668,147.222371710526,1422.20730501183,0.209380732507878,1.44841228879529
"154","20","T2","T",2,"Ho2","Ho",2,0,"R","2022",313.979,137.29062601626,1056.12491671224,0.144996050966794,0.880065649773756
"155","20","T2","T",2,"Ho2","Ho",2,0,"R","2023",395.654,149.753155507559,1442.64241350113,0.216040253690835,1.57822013557844
"156","20","T2","T",2,"Ho2","Ho",2,0,"R","2024",158.375,160.937215827338,1310.40732694083,0.210893306797601,1.6219778299988
"157","20","T2","T",2,"Ho2","Ho",2,0,"T","2021",241.62,130.676169811321,953.996399350966,0.124664595480975,0.754935241904505
"158","20","T2","T",2,"Ho2","Ho",2,0,"T","2022",252.048,145.712967346939,938.750632745717,0.136788140296195,0.91506436077882
"159","20","T2","T",2,"Ho2","Ho",2,0,"T","2023",532.844,123.541699173554,1182.61090885838,0.146101761141545,0.816376686050381
"160","20","T2","T",2,"Ho2","Ho",2,0,"T","2024",281.775,140.393435185185,1273.87410136508,0.178843561084084,1.17904543016027
"161","21","T2","T",2,"Ho3","Ho",3,0,"R","2021",99.43,178.810767857143,1178.90253618045,0.210800467723159,1.76423351023497
"162","21","T2","T",2,"Ho3","Ho",3,0,"R","2022",159.299,186.809704081633,1351.21884977875,0.252420793476693,2.36913104173492
"163","21","T2","T",2,"Ho3","Ho",3,0,"R","2023",121.767,168.987791666667,1185.47595623636,0.200330963918312,1.59991696679924
"164","21","T2","T",2,"Ho3","Ho",3,0,"R","2024",202.403,184.965703389831,1095.02096006903,0.202541322105775,2.00270886511642
"165","21","T2","T",2,"Ho3","Ho",3,0,"T","2021",95.238,140.138362068966,1378.75688052153,0.193216730927604,1.26274699494599
"166","21","T2","T",2,"Ho3","Ho",3,0,"T","2022",131.868,170.483631578947,1295.89277113248,0.220928505759571,1.79794378514741
"167","21","T2","T",2,"Ho3","Ho",3,0,"T","2023",125.593,161.864602739726,969.904915707822,0.156993273876354,1.18332454812066
"168","21","T2","T",2,"Ho3","Ho",3,0,"T","2024",263.745,158.337161904762,849.771847178502,0.134550462548811,1.1047193108271
"169","22","T2","T",2,"Ho1","Ho",1,1,"R","2021",NA,NA,NA,NA,NA
"170","22","T2","T",2,"Ho1","Ho",1,1,"R","2022",NA,NA,NA,NA,NA
"171","22","T2","T",2,"Ho1","Ho",1,1,"R","2023",NA,NA,NA,NA,NA
"172","22","T2","T",2,"Ho1","Ho",1,1,"R","2024",NA,NA,NA,NA,NA
"173","22","T2","T",2,"Ho1","Ho",1,1,"T","2021",516.859400345351,127.491572755418,1099.84620316519,0.140221122230605,0.805342590050855
"174","22","T2","T",2,"Ho1","Ho",1,1,"T","2022",328.323478624876,128.250955645161,1315.12484836123,0.168666018595026,1.04056577589811
