"","id_amap","image_surface_rectified_µm2","mean_vessel_size_µm2","std_dev_vessel_size_µm2","mean_vessel_perim_µm","std_dev_perim_µm","sum_vessel_area_µm2","dh","count_vessel","count_cluster","vessel_grouping","image_surface_rectified_mm2","vessel_density_per_mm2","vessel_density_per_m2","dh_m","vessel_area","Kth"
"82","1910",300400.579282682,162.451122100811,90.5527386950436,68.6036526297673,19.5055250461513,25829.728414029,15.3826523292486,159,128,1.2421875,0.300400579282682,529.293253627112,529293253.627112,1.53826523292486e-05,0.0859842829721137,0.724621145734687
"83","1911",328348.696985648,182.171098007366,98.4974287763251,56.6756115175,14.9174573201647,33883.82422937,16.2333074619777,186,142,1.30985915492958,0.328348696985648,566.470955138677,566470955.138677,1.62333074619777e-05,0.103194635886894,0.961823649736895
"84","1912",660957.171734928,165.353746286739,79.4179583895908,53.2986075685749,13.9090697596503,108141.350071527,15.281543242102,654,363,1.80165289256198,0.660957171734928,989.474096004335,989474096.004335,1.5281543242102e-05,0.163613248628001,1.31935915465841
"85","1913",688182.731685084,169.617764462113,92.7862688947411,58.4862662867337,20.5116235576975,150959.810371281,15.6886388365381,890,319,2.78996865203762,0.688182731685084,1293.26116309363,1293261163.09363,1.56886388365381e-05,0.219360067349613,1.91565388311865
"86","1914",929140.272556943,226.979325474705,156.549330633665,72.0390699962708,29.497564340199,84663.288402065,18.7328385151665,373,279,1.33691756272401,0.929140272556943,401.446381151389,401446381.151389,1.87328385151665e-05,0.0911200288080036,1.20873654200095
"87","1915",439371.516473847,236.760605368101,151.989669768187,70.0378974902785,27.3816110737248,37408.17564816,18.9180295311298,158,123,1.28455284552846,0.439371516473847,359.604558046959,359604558.046959,1.89180295311298e-05,0.0851401928563266,1.12620780070438
"88","1916",222217.859069812,120.953813141926,41.2602700254631,44.5999960770514,8.53255568408333,21166.917299837,12.7541574329562,175,108,1.62037037037037,0.222217859069812,787.515462224942,787515462.224942,1.27541574329562e-05,0.0952529980643329,0.50951377567153
"89","1917",210107.418764939,163.381834883311,94.5295425997918,63.6077154778667,22.1553823376179,36760.912848745,15.4983788945409,225,93,2.41935483870968,0.210107418764939,1070.88079670201,1070880796.70201,1.54983788945409e-05,0.174962469506476,1.51069215516144
"90","1918",196641.943098695,124.618882873638,65.7602814306609,57.2361343510757,26.1794314033829,23054.493331623,13.3903119528062,185,92,2.01086956521739,0.196641943098695,940.79623647305,940796236.47305,1.33903119528062e-05,0.117240976000994,0.739516890734057
"91","1919",232105.044750652,193.184766569679,119.076495819413,71.0768626160584,22.5262268718691,26466.313020046,16.9897713083248,137,105,1.3047619047619,0.232105044750652,590.249988522126,590249988.522126,1.69897713083248e-05,0.114027306250403,1.20247447573399
"92","1920",185344.414490713,148.040145878188,81.1406266642597,49.3696415827321,16.3122998711932,16580.496338357,14.6534842324756,112,82,1.36585365853659,0.185344414490713,604.280416584186,604280416.584186,1.46534842324756e-05,0.0894577610224547,0.681227030981568
"93","1921",313165.40118256,218.001106307597,101.63519641193,60.7534008921009,17.4155765951084,49704.252238132,17.4966021423533,228,140,1.62857142857143,0.31316540118256,728.049775419115,728049775.419115,1.74966021423533e-05,0.158715656488364,1.66826748397788
"94","1922",345861.207947189,129.862753928979,64.6291758579177,64.1448177432639,32.7270560173708,49217.983739083,13.5883316700833,379,189,2.00529100529101,0.345861207947189,1095.81529032846,1095815290.32846,1.35883316700833e-05,0.142305591399537,0.91346446670945
"95","1923",162216.269004675,230.872580446783,135.234125430738,61.5502266134917,22.0395699256927,27704.709653614,18.4474951029646,120,60,2,0.162216269004675,739.753174797416,739753174.797416,1.84474951029646e-05,0.17078872435918,2.09472106290936
"96","1924",1256748.88860063,174.859804600127,106.440704275256,67.4649258221381,32.8135951466336,300059.424693818,16.1438049726184,1716,496,3.45967741935484,1.25674888860063,1365.42790335048,1365427903.35048,1.61438049726184e-05,0.238758456375425,2.26768188200918
"97","1925",899299.650425245,132.895327441265,54.0356247517479,46.4353134002393,10.2740534401976,137147.977919385,13.5147133687226,1032,556,1.85611510791367,0.899299650425245,1147.55965879894,1147559658.79894,1.35147133687226e-05,0.152505316614471,0.936035622189276
