"","X","file","id_complete","image_surface_µm2","id_amap","number","site","site_type","site_replicate","species_site_replicate","species","species_replicate","micro","organ","image_surface_rectified_µm2"
"94",94,"1922_T3-Ft1-49_Tige_X200_09µm_square.jpg","1922_T3_Ft1_49_T_X200_09µm",372907.155208507,"1922",49,"T3","T",3,"Ft1","Ft",1,0,"T",345861.207947189
"95",95,"1923_T3-Ft1-49_Racine_X200_09µm_square.jpg","1923_T3_Ft1_49_R_X200_09µm",189000.737427822,"1923",49,"T3","T",3,"Ft1","Ft",1,0,"R",162216.269004675
"96",96,"1924_T2-Ho2-20_Tige_X200_09µm_square.jpg","1924_T2_Ho2_20_T_X200_09µm",1379951.145951,"1924",20,"T2","T",2,"Ho2","Ho",2,0,"T",1256748.88860063
"97",97,"1925_T2-Ho2-20_Racine_X200_09µm_square.jpg","1925_T2_Ho2_20_R_X200_09µm",941067.266975351,"1925",20,"T2","T",2,"Ho2","Ho",2,0,"R",899299.650425245
"98",98,"1926_T2-Ho3-21_Tige_X200_09µm_square.jpg","1926_T2_Ho3_21_T_X200_09µm",283367.491824426,"1926",21,"T2","T",2,"Ho3","Ho",3,0,"T",273925.230868222
"99",99,"1927_T2-Ho3-21_Racine_X200_09µm_square.jpg","1927_T2_Ho3_21_R_X200_09µm",309634.752367671,"1927",21,"T2","T",2,"Ho3","Ho",3,0,"R",293181.299150681
"100",100,"1928_T2-Ft1-31_Tige_X200_09µm_square.jpg","1928_T2_Ft1_31_T_X200_09µm",248969.471513292,"1928",31,"T2","T",2,"Ft1","Ft",1,0,"T",216214.797785094
"101",101,"1929_T2-Ft1-31_Racine_X200_09µm_square.jpg","1929_T2_Ft1_31_R_X200_09µm",234387.987737743,"1929",31,"T2","T",2,"Ft1","Ft",1,0,"R",214454.264874684
"102",102,"1930_T3-Ft2-50_Tige_X200_09µm_square.jpg","1930_T3_Ft2_50_T_X200_09µm",530488.266881873,"1930",50,"T3","T",3,"Ft2","Ft",2,0,"T",499243.325419305
"103",103,"1931_T3-Ft2-50_Racine_X200_09µm_square.jpg","1931_T3_Ft2_50_R_X200_09µm",378558.931310635,"1931",50,"T3","T",3,"Ft2","Ft",2,0,"R",358020.384621901
"104",104,"1932_T3-Ho3-39_Tige_X200_09µm_square.jpg","1932_T3_Ho3_39_T_X200_09µm",711853.274635432,"1932",39,"T3","T",3,"Ho3","Ho",3,0,"T",701995.65933629
"105",105,"1933_T3-Ho3-39_Racine_X200_09µm_square.jpg","1933_T3_Ho3_39_R_X200_09µm",99356.4825084717,"1933",39,"T3","T",3,"Ho3","Ho",3,0,"R",93808.2027422907
"106",106,"1934_T3-Fe2-44_Tige_X200_09µm_square.jpg","1934_T3_Fe2_44_T_X200_09µm",164302.897513265,"1934",44,"T3","T",3,"Fe2","Fe",2,0,"T",157094.569374485
"107",107,"1935_T3-Fe2-44_Racine_X200_09µm_square.jpg","1935_T3_Fe2_44_R_X200_09µm",199694.26360962,"1935",44,"T3","T",3,"Fe2","Fe",2,0,"R",190400.949761233
"108",108,"1936_F1-Ft1-58_Tige_X200_09µm_square.jpg","1936_F1_Ft1_58_T_X200_09µm",213892.427622404,"1936",58,"F1","F",1,"Ft1","Ft",1,0,"T",199377.751005508
"109",109,"1937_F1-Ft1-58_Racine_X200_09µm_square.jpg","1937_F1_Ft1_58_R_X200_09µm",288823.774847543,"1937",58,"F1","F",1,"Ft1","Ft",1,0,"R",267432.341686659
"110",110,"1938_T3-Fe1-43_Tige_X200_09µm_square.jpg","1938_T3_Fe1_43_T_X200_09µm",607449.566050678,"1938",43,"T3","T",3,"Fe1","Fe",1,0,"T",562259.72541858
"111",111,"1939_T3-Fe1-43_Racine_X200_09µm_square.jpg","1939_T3_Fe1_43_R_X200_09µm",477693.088356703,"1939",43,"T3","T",3,"Fe1","Fe",1,0,"R",458096.960684707
"112",112,"1940_P3-Fe3-87_Tige_X200_09µm_square.jpg","1940_P3_Fe3_87_T_X200_09µm",401048.301792008,"1940",87,"P3","P",3,"Fe3","Fe",3,0,"T",379099.412176132
"113",113,"1941_P3-Fe3-87_Racine_X200_09µm_square.jpg","1941_P3_Fe3_87_R_X200_09µm",457010.249157271,"1941",87,"P3","P",3,"Fe3","Fe",3,0,"R",443147.216137075
"114",114,"1942_P2-Ft3-84_Tige_X200_09µm_square.jpg","1942_P2_Ft3_84_T_X200_09µm",202202.270057419,"1942",84,"P2","P",2,"Ft3","Ft",3,0,"T",178406.052984851
"115",115,"1943_P2-Ft3-84_Racine_X200_09µm_square.jpg","1943_P2_Ft3_84_R_X200_09µm",210792.465940964,"1943",84,"P2","P",2,"Ft3","Ft",3,0,"R",190037.617386099
"116",116,"1944_P3-Fe1-85_Tige_X200_09µm_square.jpg","1944_P3_Fe1_85_T_X200_09µm",555491.941207148,"1944",85,"P3","P",3,"Fe1","Fe",1,0,"T",514822.809577193
"117",117,"1945_P3-Fe1-85_Racine_X200_09µm_square.jpg","1945_P3_Fe1_85_R_X200_09µm",360186.962681009,"1945",85,"P3","P",3,"Fe1","Fe",1,0,"R",321056.859898551
"118",118,"1946_P3-Ft3-90_Tige_X200_09µm_square.jpg","1946_P3_Ft3_90_T_X200_09µm",431508.532940232,"1946",90,"P3","P",3,"Ft3","Ft",3,0,"T",285860.165481715
"119",119,"1947_P3-Ft3-90_Racine_X200_09µm_square.jpg","1947_P3_Ft3_90_R_X200_09µm",431747.286392468,"1947",90,"P3","P",3,"Ft3","Ft",3,0,"R",399371.004030084
"120",120,"1948_P2-Ft2-83_Tige_X200_09µm_square.jpg","1948_P2_Ft2_83_T_X200_09µm",227030.438691316,"1948",83,"P2","P",2,"Ft2","Ft",2,0,"T",211149.500919997
"121",121,"1949_P2-Ft2-83_Racine_X200_09µm_square.jpg","1949_P2_Ft2_83_R_X200_09µm",666902.461255401,"1949",83,"P2","P",2,"Ft2","Ft",2,0,"R",609783.162006421
"122",122,"1950_P2-Ft1-82_Tige_X200_09µm_square.jpg","1950_P2_Ft1_82_T_X200_09µm",725223.467960646,"1950",82,"P2","P",2,"Ft1","Ft",1,0,"T",686931.192659659
"123",123,"1951_P2-Ft1-82_Racine_X200_09µm_square.jpg","1951_P2_Ft1_82_R_X200_09µm",152164.255825846,"1951",82,"P2","P",2,"Ft1","Ft",1,0,"R",123991.622261832
"124",124,"1952_P2-Fe2-80_Tige_X200_09µm_square.jpg","1952_P2_Fe2_80_T_X200_09µm",339389.127552748,"1952",80,"P2","P",2,"Fe2","Fe",2,0,"T",326392.123396568
"125",125,"1953_P2-Fe2-80_Racine_X200_09µm_square.jpg","1953_P2_Fe2_80_R_X200_09µm",303175.266765434,"1953",80,"P2","P",2,"Fe2","Fe",2,0,"R",269111.008447735
"126",126,"1954_F3-Fe1-67_Tige_X200_09µm_square.jpg","1954_F3_Fe1_67_T_X200_09µm",127189.604282608,"1954",67,"F3","F",3,"Fe1","Fe",1,0,"T",120637.848137477
